VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit Concept Name,Visit Concept Code,Visit OMOP ID
epf_diab_f,cause of death: Diabetes mellitus,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Diabetes mellitus,snomed:73211009,201820,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_dvt_f,cause of death: Deep venous thrombosis,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Deep venous thrombosis,snomed:128053003,4133004,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_dysrh_f,cause of death: Cardiac dysrhythmia ,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Cardiac arrhythmia,snomed:698247007,44784217,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_endocr_f,cause of death: Endocrine  nutrirional  metabolic ,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Disorder of endocrine system,snomed:362969004,31821,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_epipar_f,cause of death: Episodic / paroxysmal disorders,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Episodic and paroxysmal disorders,icd10:G40-G47,40475072,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_hfail_f,cause of death: Heart failure ,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Emergency hospital admission for heart failure,snomed:416683003,4215511,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_hyp_f,cause of death: Hypertension ,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Hypertensive disorder,snomed:38341003,316866,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_liver_f,cause of death: Liver disease ,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Liver disease,loinc:LA25810-5,21499348,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_mental_f,cause of death: Mental disorders,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Mental disorder,snomed:74732009,432586,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_mi_f,cause of death: Myocardial infarction,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Myocardial infarction,snomed:22298006,4329847,,,,Observation,M0,baseline time,loinc:64103-5,40766819
