VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit Concept Name,Visit Concept Code,Visit OMOP ID
hxcanage_pm,History of neoplasm (father) - Age ,INT,years,,,712,9288,26,99,,,,,snomed:266883004,Family History of neoplasm,4144262,Age|mother,loinc:30525-0|snomed:72705000,3022304|4248584,year,ucum:a,9448,Observation,M0,baseline time,loinc:64103-5,40766819
hxchdage_pm,History of conorary heart disease (father) - Age ,INT,years,,,951,9049,28,99,,,,,snomed:203261000000108,Family History of CHD,44789401,Age|mother,loinc:30525-0|snomed:72705000,3022304|4248584,year,ucum:a,9448,Observation,M0,baseline time,loinc:64103-5,40766819
hxcvdage_pm,History of cardiovascular disease (father) - Age ,INT,years,,,951,9049,28,99,,,,,snomed:266894000,Family History of cardiovascular disease,4148407,Age|mother,loinc:30525-0|snomed:72705000,3022304|4248584,year,ucum:a,9448,Observation,M0,baseline time,loinc:64103-5,40766819
hxdiabage_pm,History of diabetes (father) - Age ,INT,years,,,1573,8427,25,99,,,,,snomed:160303001,Family History of diabetes,4051114,Age|mother,loinc:30525-0|snomed:72705000,3022304|4248584,year,ucum:a,9448,Observation,M0,baseline time,loinc:64103-5,40766819
hxhypage_pm,History of hypertension (father) - Age ,INT,years,,,1881,8119,10,99,,,,,snomed:160357008,Family History of hypertension,4050816,Age|mother,loinc:30525-0|snomed:72705000,3022304|4248584,year,ucum:a,9448,Observation,M0,baseline time,loinc:64103-5,40766819
hxrespage_pm,History of respiratory system disease (father) - Age ,INT,years,,,183,9817,20,95,,,,,snomed:151181000119106,Family History of respiratory system disease,46274036,Age|mother,loinc:30525-0|snomed:72705000,3022304|4248584,year,ucum:a,9448,Observation,M0,baseline time,loinc:64103-5,40766819
hxstrokeage_pm,History of stroke (father) - Age ,INT,years,,,1402,8598,32,99,,,,,snomed:275104002,Family History of stroke,4169009,Age|mother,loinc:30525-0|snomed:72705000,3022304|4248584,year,ucum:a,9448,Observation,M0,baseline time,loinc:64103-5,40766819
hxsuddage_pm,History of sudden death (father) - Age ,INT,years,,,378,9622,35,99,,,,,snomed:430283008,Family History of sudden death,4160280,Age|mother,loinc:30525-0|snomed:72705000,3022304|4248584,year,ucum:a,9448,Observation,M0,baseline time,loinc:64103-5,40766819
sbp,Systolic blood pressure,INT,mmHg,,,9997,3,78,250,,,,,loinc:8480-6,Systolic blood pressure,3004249,,,,millimeter mercury column,ucum:mm[Hg],8876,Measurement,M0,baseline time,loinc:64103-5,40766819
dbp,Diastolic blood pressure,INT,mmHg,,,9996,4,44,144,,,,,loinc:8462-4,Diastolic blood pressure,3012888,,,,millimeter mercury column,ucum:mm[Hg],8876,Measurement,M0,baseline time,loinc:64103-5,40766819
ht,Height (cm),FLOAT,m,,,9997,3,,,,,,,loinc:8302-2,Body height,3036277,,,,centimeter,ucum:cm,8582,Measurement,M0,baseline time,loinc:64103-5,40766819
wt,Weight (kg),FLOAT,kg,,,9997,3,,,,,,,loinc:29463-7,Body weight,3025315,,,,kilogram,ucum:kg,9529,Measurement,M0,baseline time,loinc:64103-5,40766819
bmi,Body mass index,FLOAT,kg/m2,,,9995,5,,,,,,,loinc:39156-5,Body mass index (BMI) [Ratio],3038553,,,,kilogram per square meter,ucum:kg/m2,9531,Measurement,M0,baseline time,loinc:64103-5,40766819
waist,Waist circumference (cm),FLOAT,m,,,9999,1,,,,,,,snomed:276361009,Waist circumference,4172830,,,,centimeter,ucum:cm,8582,Measurement,M0,baseline time,loinc:64103-5,40766819
hip,Hip circumference (cm),FLOAT,m,,,9999,1,,,,,,,snomed:284472007,Hip circumference,4111665,,,,centimeter,ucum:cm,8582,Measurement,M0,baseline time,loinc:64103-5,40766819
whr,Waist/hip ratio,FLOAT,,,,9999,1,,,,,,,snomed:248367009,Waist/hip ratio,4087501,,,,ratio,ucum:{ratio},8523,Measurement,M0,baseline time,loinc:64103-5,40766819
pulse,Pulse,INT,1/min,,,9991,9,37,197,,,,,loinc:29463-7,Heart rate,3027018,,,,counts per minute,ucum:{counts}/min,8483,Measurement,M0,baseline time,loinc:64103-5,40766819
fatmass,Body Fat Mass,INT,kg,,,7008,2992,1,71,,,,,loinc:73708-0,Body fat [Mass] Calculated,43533733,,,,kilogram,ucum:kg,9529,Measurement,M0,baseline time,loinc:64103-5,40766819
fatperc,Body Fat Percentage,INT,%,,,7008,2992,4,51,,,,,loinc:41982-0,Percentage of body fat Measured,3032843,,,,percent,ucum:%,8554,Measurement,M0,baseline time,loinc:64103-5,40766819
lpa,lipoprotein A,FLOAT,µmol/L,,,3012,6988,,,,,,,loinc:43583-4,Lipoprotein a [Moles/volume] in Serum or Plasma,3046664,,,,micromole per liter,,8749,Measurement,M0,baseline time,loinc:64103-5,40766819
hemcrit,haemocrit,INT,%,,,6310,3690,9,60,,,,,loinc:29463-7,Hematocrit [Volume Fraction] of Blood,3009542,,,,percent,ucum:%,8554,Measurement,M0,baseline time,loinc:64103-5,40766819
hemglob,haemoglobin,INT,g/l,,,6310,3690,29,203,,,,,loinc:718-7,Hemoglobin [Mass/volume] in Blood,3000963,,,,gram per liter,ucum:g/L,8636,Measurement,M0,baseline time,loinc:64103-5,40766819
leuc,white blood cell count,FLOAT,10^9/L,,,6310,3690,,,,,,,loinc:26464-8,Leukocytes [#/volume] in Blood,3010813,,,,billion per liter,ucum:10*9/L,9444,Measurement,M0,baseline time,loinc:64103-5,40766819
platelet,platelet estimate,INT,109/L,,,6310,3690,20,3000,,,,,snomed:1108041000000107,Platelet count in blood,37208696,,,,billion per liter,ucum:10*9/L,9444,Measurement,M0,baseline time,loinc:64103-5,40766819
crp,c-reactive protein,FLOAT,mg/L,,,3012,6988,,,,,,,loinc:1988-5,C reactive protein [Mass/volume] in Serum or Plasma,3020460,,,,milligram per liter,ucum:mg/L,8751,Measurement,M0,baseline time,loinc:64103-5,40766819
basos,basophils,FLOAT,% (leuc),,,6308,3692,,,,,,,loinc:71675-3,Basophils/Leukocytes [Pure number fraction] in Blood by Manual count,43055368,,,,percent,ucum:%,8554,Measurement,M0,baseline time,loinc:64103-5,40766819
lymphs,lymphocytes,FLOAT,% (leuc),,,6310,3690,,,,,,,loinc:71673-8,Lymphocytes/Leukocytes [Pure number fraction] in Blood by Manual count,43055366,,,,percent,ucum:%,8554,Measurement,M0,baseline time,loinc:64103-5,40766819
monos,monocytes,FLOAT,% (leuc),,,6310,3690,,,,,,,loinc:71672-0,Monocytes/Leukocytes [Pure number fraction] in Blood by Manual count,43055365,,,,percent,ucum:%,8554,Measurement,M0,baseline time,loinc:64103-5,40766819
neutros,neutrophils,FLOAT,% (leuc),,,6310,3690,,,,,,,loinc:71671-2,Neutrophils/Leukocytes [Pure number fraction] in Blood by Manual count,43055364,,,,percent,ucum:%,8554,Measurement,M0,baseline time,loinc:64103-5,40766819
rbc,red blood cell count,FLOAT,10^12/l,,,6310,3690,,,,,,,loinc:790-6,Erythrocytes [#/volume] in Blood by Manual count,3027017,,,,trillion per liter,ucum:10*12/L,8734,Measurement,M0,baseline time,loinc:64103-5,40766819
alp,Alkaline Phosphatase,FLOAT,IU/L,,,3012,6988,,,,,,,loinc:1783-0,Alkaline phosphatase [Enzymatic activity/volume] in Blood,3001110,,,,international unit per liter,ucum:[iU]/L,8923,Measurement,M0,baseline time,loinc:64103-5,40766819
alt,Alanine Transaminase (ALT  GPT  SGPT or ALAT),FLOAT,IU/L,,,3012,6988,,,,,,,loinc:76625-3,Alanine aminotransferase [Enzymatic activity/volume] in Blood,46235106,,,,international unit per liter,ucum:[iU]/L,8923,Measurement,M0,baseline time,loinc:64103-5,40766819
ast,Aspartate Aminotransferase (GOT or SGOT),FLOAT,IU/L,,,3012,6988,,,,,,,loinc:1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,3013721,,,,international unit per liter,ucum:[iU]/L,8923,Measurement,M0,baseline time,loinc:64103-5,40766819
ggt,Gamma-glutamyl transferase,FLOAT,IU/L,,,3012,6988,,,,,,,loinc:2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,3026910,,,,international unit per liter,ucum:[iU]/L,8923,Measurement,M0,baseline time,loinc:64103-5,40766819
hba1c,glycosylated haemoglobin,FLOAT,%,,,9701,299,,,,,,,loinc:4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,3004410,,,,percent,ucum:%,8554,Measurement,M0,baseline time,loinc:64103-5,40766819
eosins,eosinophils,FLOAT,% (leuc),,,6310,3690,,,,,,,loinc:71674-6,Eosinophils/Leukocytes [Pure number fraction] in Blood by Manual count,43055367,,,,percent,ucum:%,8554,Measurement,M0,baseline time,loinc:64103-5,40766819
