"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","FORMULA","CATEGORICAL VALUE CONCEPT CODE","CATEGORICAL VALUE CONCEPT NAME","CATEGORICAL VALUE OMOP ID","VARIABLE CONCEPT CODE","VARIABLE CONCEPT NAME","VARIABLE OMOP ID","ADDITIONAL CONTEXT CONCEPT NAME","ADDITIONAL CONTEXT CONCEPT CODE","ADDITIONAL CONTEXT OMOP ID","UNIT CONCEPT NAME","UNIT CONCEPT CODE","UNIT OMOP ID","DOMAIN","VISITS","VISIT OMOP ID","VISIT CONCEPT NAME","VISIT CONCEPT CODE"
"hdl_cholesterol_value_in_mgdl_q3a","HDL cholesterol","FLOAT","mg/dL",,,,,,,,,,,"LOINC:2085-9","HDL Cholesterol [Mass/volume] in Serum or Plasma",3007070,,,,"milligram per deciliter","UCUM:mg/dL",8840,"Measurement","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"hdl_cholesterol_value_q3a","HDL cholesterol","FLOAT","mg/dL",,,,,,,,,,,"LOINC:2085-9","HDL Cholesterol [Mass/volume] in Serum or Plasma",3007070,,,,"milligram per deciliter","UCUM:mg/dL",8840,"Measurement","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"hdlccholesterol_mgdl","HDLC-Cholesterol (mg/dL)","FLOAT","mg/dL",,,,,,,,,,,"LOINC:2085-9","HDL Cholesterol [Mass/volume] in Serum or Plasma",3007070,,,,"milligram per deciliter","UCUM:mg/dL",8840,"Measurement","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"standing_height_to_nearest_cm_q1","Standing height (to the nearest cm)","FLOAT","cm",,,,,,,,,,,"SNOMED:248333004","Standing height",4093975,,,,"centimeter","UCUM:cm",8582,"Measurement","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"standing_height_cm","Standing height (cm)","FLOAT","cm",,,,,,,,,,,"SNOMED:248333004","Standing height",4093975,,,,"centimeter","UCUM:cm",8582,"Measurement","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"hypertension_lowering_med_use_def_1","Taking blood pressure lowering medication","INT",,"0=No|1=Yes",,,,,,,"SNOMED:373067005|SNOMED:373066001","No|Yes","4188540|4188539","SNOMED:308116003","Antihypertensive therapy",4146455,,,,,,,"Drug_Exposure","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"hypertension_meds_self_reported","Taking blood pressure lowering medication  (Self reported)","INT",,"0=No|1=Yes",,,,,,,"SNOMED:373067005|SNOMED:373066001","No|Yes","4188540|4188539","SNOMED:308116003","Antihypertensive therapy",4146455,,,,,,,"Drug_Exposure","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"medication_taken_for_high_blodd_pressure_or_hypertension","Medication taken for high blodd pressure or hypertension","INT",,"0=No|1=Yes",,,,,,,"SNOMED:373067005|SNOMED:373066001","No|Yes","4188540|4188539","SNOMED:308116003","Antihypertensive therapy",4146455,,,,,,,"Drug_Exposure","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"rose_angina","ANGINA indicated","INT",,"0=No|1=Yes",,,,,,,"SNOMED:373067005|SNOMED:373066001","No|Yes","4188540|4188539","SNOMED:194828000","Angina pectoris",321318,,,,,,,"Condition_Occurrence","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"prevalent_hf_at_visit_1","Prevalent Heart Failure at Visit 1 (baseline)","INT",,,,,,,,,,,,"SNOMED:84114007","Heart failure",316139,"Prevalence","SNOMED:723261000000109",44803900,,,,"Condition_Occurrence","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"followup_time_for_inchf18_in_days","Follow-up time for IN_CHF18 in days","INT",,,,,,,,,,,,"SNOMED:266995000","Congestive heart failure",4144290,"Follow-up time","icare:icv200000062",2000000062,,,,"Condition_Occurrence","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"incident_hf_from_discharge_codes","Incident HF (from discharge codes)","INT",,,,,,,,,,,,"SNOMED:84114007","Heart failure",316139,,,,,,,"Condition_Occurrence","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"prevalent_chd_at_v3_definition_3","Prevalent CHD at V3, definition 3","INT",,,,,,,,,,,,"SNOMED:53741008","Coronary arteriosclerosis",317576,"Prevalence","SNOMED:723261000000109",44803900,,,,"Condition_Occurrence","Visit 3",44818519,"Follow-up visit","OMOP:44818519"
"prevalent_chd_at_v4_definition_3","Prevalent CHD at V4, definition 3","INT",,,,,,,,,,,,"SNOMED:53741008","Coronary arteriosclerosis",317576,"Prevalence","SNOMED:723261000000109",44803900,,,,"Condition_Occurrence","Visit 4",44818519,"Follow-up visit","OMOP:44818519"
"pad_v1_def_2_same_for_both_genders","PAD at v1 Def 2 (same for both genders)","INT",,,,,,,,,,,,"Snomed:840580004","Peripheral arterial disease",3654996,,,,,,,"Condition_Occurrence","baseline",1006364,"Baseline time","LOINC:LP115770-2"
"cardiac_procedures","Cardiac Procedures","INT",,,,,,,,,,,,"LOINC:LP200320-2","Cardiac procedures",37055374,,,,,,,"Condition_Occurrence","baseline",1006364,"Baseline time","LOINC:LP115770-2"
