"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","Categorical Value Concept Code","Categorical Value Concept Name","Categorical Value OMOP ID","Variable Concept Code","Variable Concept Name","Variable OMOP ID","Additional Context Concept Name","Additional Context Concept Code","Additional Context OMOP ID","Unit Concept Name","Unit Concept Code","Unit OMOP ID","Domain","Visits","Visit OMOP ID","Visit Concept Name","Visit Concept Code"
"Beinödemlinks","presence of leg edema left (no/mild/modearet/severe)","INT",,"keine=none|mild=mild|mäßig=moderate|stark=severe",,2851,6297,,,,"LOINC:LA32-8| snomed:26237000| snomed:102575008|snomed:102573001","No|ankle edema|Edema of knee|Edema of thigh","45878245|4094513|4010012|4010011","snomed:816182002","Edema of left lower limb",37311249,,,,,,,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Beinödemrechts","presence of leg edema right  (no/mild/modearet/severe)","INT",,"keine=none|mild=mild|mäßig=moderate|stark=severe",,2818,6330,,,,"LOINC:LA32-8| snomed:26237000| snomed:102575008|snomed:102573001","No|ankle edema|Edema of knee|Edema of thigh","45878245|4094513|4010012|4010011","snomed:816183007","Edema of right lower limb",37311248,,,,,,,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Betablocker","Betablocker","INT",,"1=yes|0=no",,9148,0,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C07","BETA BLOCKING AGENTS",21601664,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ACEi","ACE inhibitors (ACEI)","INT",,"1=yes|0=no",,9148,0,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C09A","ACE INHIBITORS, PLAIN",21601783,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARNI","Angiotensin Receptor-Neprilysin Inhibitor (ARNi)","INT",,"1=yes|0=no",,9148,0,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","rxnorm:1656338","sacubitril / valsartan Oral Tablet",46275724,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARB","Angiotensin II Receptor Blockers (ARBs)","INT",,"1=yes|0=no",,9148,0,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C09CA","Angiotensin II receptor blockers (ARBs) plain",21601823,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Raasi","RAS inhibitors","INT",,"1=yes|0=no",,9148,0,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C09","AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM",21601782,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"MRA","Mineralocorticoid receptor antagonists(MRAs)","INT",,"1=yes|0=no",,9148,0,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C03DA","Aldosterone antagonists",21601533,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"SGLT2i","SGLT2i","INT",,"1=yes|0=no",,9148,0,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors",1123627,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"If-Kanalblocker","use of Ivabradin","INT",,"1=yes|0=no",,9148,0,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","rxnorm:1649480","ivabradine",46234437,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"OraleAntikoagulation","oral anticoagulants","INT",,"1=yes|0=no",,4680,4468,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:B01A","antithrombotic agents",21600961,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Kalium-Binder","potassium binder","INT",,"1=yes|0=no",,633,8515,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:V03AE","Drugs for treatment of hyperkalemia and hyperphosphatemia",21605263,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Vericiguat","use of Vericiguat","INT",,"1=yes|0=no",,687,8461,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","rxnorm:2475830","vericiguat",739665,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Schleifen-D","Loop diuretics","INT",,"1=yes|0=no",,9148,0,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C03C","high-ceiling diuretics",21601516,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"IndividuellmaximaleTherapieerreicht","individual maximum dosage achieved (yes/no)","INT",,"1=yes|0=no",,681,8467,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:197191000000104","Medication goal achieved",44789042,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"BetablockerWirkstoff","Betablocker substance","STR",,,,8737,411,,,,,,,"atc:C07","BETA BLOCKING AGENTS",21601664,"Substance","snomed:105590001",4022675,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"BetablockerMaxDosis","Betablocker target dose for specific substance","FLOAT",,,,8733,415,10,320,,,,,"atc:C07","BETA BLOCKING AGENTS",21601664,"Medication maximum dose [Dosage] Medication","loinc:104778-6",1091069,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"BetablockerTagesdosis","Betablocker daily dosis absolute number","FLOAT",,,,8732,416,0.62,320,,,,,"atc:C07","BETA BLOCKING AGENTS",21601664,"Dosage","snomed:260911001",4118853,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"BetablockerTD","Betablocker daily dosis in % of target dosis","FLOAT","%",,,8730,418,2.5,300,,,,,"atc:C07","BETA BLOCKING AGENTS",21601664,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARNIWirkstoff","ARNi substance","STR",,,,4534,4614,0,0,,,,,"rxnorm:1656338","sacubitril / valsartan Oral Tablet",46275724,"Substance","snomed:105590001",4022675,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARNIMaxDosis","ARNi target dose for specific substance","FLOAT",,,,4534,4614,400,400,,,,,"rxnorm:1656338","sacubitril / valsartan Oral Tablet",46275724,"Medication maximum dose [Dosage] Medication","loinc:104778-6",1091069,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARNITagesdosis","ARNi daily dosis absolute number","FLOAT",,,,4534,4614,12.5,800,,,,,"rxnorm:1656338","sacubitril / valsartan Oral Tablet",46275724,"Dosage","snomed:260911001",4118853,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARNITD","ARNi daily dosis in % of target dosis","FLOAT","%",,,4534,4614,3.13,200,,,,,"rxnorm:1656338","sacubitril / valsartan Oral Tablet",46275724,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ACEiWirkstoff","ACEi substance","STR",,,,2699,6449,0,0,,,,,"atc:C09A","ACE INHIBITORS, PLAIN",21601783,"Substance","snomed:105590001",4022675,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ACEiMaxDosis","ACEi target dose for specific substance","FLOAT",,,,2699,6449,10,150,,,,,"atc:C09A","ACE INHIBITORS, PLAIN",21601783,"Medication maximum dose [Dosage] Medication","loinc:104778-6",1091069,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ACEiTagesdosis","ACEi daily dosis absolute number","FLOAT",,,,2699,6449,0.63,150,,,,,"atc:C09A","ACE INHIBITORS, PLAIN",21601783,"Dosage","snomed:260911001",4118853,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ACEiTD","ACEi daily dosis in % of target dosis","FLOAT","%",,,2699,6449,3.57,200,,,,,"atc:C09A","ACE INHIBITORS, PLAIN",21601783,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARBWirkstoff","ARB substance","STR",,,,1378,7770,0,0,,,,,"atc:C09CA","Angiotensin II receptor blockers (ARBs) plain",21601823,"Substance","snomed:105590001",4022675,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARBMaxDosis","ARB target dose for specific substance","FLOAT",,,,1378,7770,32,400,,,,,"atc:C09CA","Angiotensin II receptor blockers (ARBs) plain",21601823,"Medication maximum dose [Dosage] Medication","loinc:104778-6",1091069,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARBTagesdosis","ARB daily dosis absolute number","FLOAT",,,,1378,7770,2,480,,,,,"atc:C09CA","Angiotensin II receptor blockers (ARBs) plain",21601823,"Dosage","snomed:260911001",4118853,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ARBTD","ARB daily dosis in % of target dosis","FLOAT","%",,,1378,7770,6,200,,,,,"atc:C09CA","Angiotensin II receptor blockers (ARBs) plain",21601823,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"MRAWirkstoff","MRA substance","STR",,,,7296,1852,0,0,,,,,"atc:C03DA","Aldosterone antagonists",21601533,"Substance","snomed:105590001",4022675,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"MRAMaxDosis","MRA target dose for specific substance","FLOAT",,,,7300,1848,50,50,,,,,"atc:C03DA","Aldosterone antagonists",21601533,"Medication maximum dose [Dosage] Medication","loinc:104778-6",1091069,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"MRATagesdosis","MRA daily dosis absolute number","FLOAT",,,,7297,1851,2.5,400,,,,,"atc:C03DA","Aldosterone antagonists",21601533,"Dosage","snomed:260911001",4118853,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"MRATD","MRA daily dosis in % of target dosis","FLOAT","%",,,7297,1851,5,800,,,,,"atc:C03DA","Aldosterone antagonists",21601533,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"SGLT2iWirkstoff","SGLT2i substance","STR",,,,3800,5348,0,0,,,,,"atc:A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors",1123627,"Substance","snomed:105590001",4022675,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"SGLT2iMaxDosis","SGLT2i target dose for specific substance","FLOAT",,,,3800,5348,10,10,,,,,"atc:A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors",1123627,"Medication maximum dose [Dosage] Medication","loinc:104778-6",1091069,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"SGLT2iTagesdosis","SGLT2i daily dosis absolute number","FLOAT",,,,3800,5348,2.9,25,,,,,"atc:A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors",1123627,"Dosage","snomed:260911001",4118853,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"SGLT2iTD","SGLT2i daily dosis in % of target dosis","FLOAT","%",,,3800,5348,29,250,,,,,"atc:A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors",1123627,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Schleifen-DWirkgruppe","diuretics substance group","STR",,,,3832,5316,0,0,,,,,"atc:A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors",1123627,"Substance","snomed:105590001",4022675,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Schleifen-DWirkstoff","diuretics substance","STR",,,,3832,5316,0,0,,,,,"atc:C03C","high-ceiling diuretics",21601516,"Medication maximum dose [Dosage] Medication","loinc:104778-6",1091069,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Schleifen-DMaxDosis","diuretics target dose for specific substance","FLOAT","mg",,,2,9146,10,10,,,,,"atc:C03C","high-ceiling diuretics",21601516,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Schleifen-DTagesdosis","diuretics daily dosis absolute number","FLOAT",,,,3704,5444,2,1500,,,,,"atc:C03C","high-ceiling diuretics",21601516,"percentage target dose","icare:icv2000000042",2000000042,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Schleifen-DTD","diuretics daily dosis in % of target dosis","FLOAT","%",,,2,9146,400,400,,,,,"atc:C03C","high-ceiling diuretics",21601516,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"If-KanalblockerWirkstoff","If-channel inhibitor substance","STR",,,,814,8334,0,0,,,,,"rxnorm:1649480","ivabradine",46234437,"Substance","snomed:105590001",4022675,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"If-KanalblockerMaxDosis","If-channel inhibitor target dose for specific substance","FLOAT",,,,814,8334,15,15,,,,,"rxnorm:1649480","ivabradine",46234437,"Medication maximum dose [Dosage] Medication","loinc:104778-6",1091069,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"If-KanalblockerTagesdosis","If-channel inhibitor daily dosis absolute number","FLOAT",,,,814,8334,2.5,15,,,,,"rxnorm:1649480","ivabradine",46234437,"Dosage","snomed:260911001",4118853,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"If-KanalblockerTD","If-channel inhibitor daily dosis in % of target dosis","FLOAT","%",,,814,8334,17,100,,,,,"rxnorm:1649480","ivabradine",46234437,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"BB_RAASi_MRA_SGLT2i_100","quadruple therapy all TD 100% (y/n)","FLOAT",,,,9148,0,0,0,,,,,"snomed:473226007","Heart failure medication review",43021506,"percentage target dose","icare:icv2000000042",2000000042,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"RaasiTD","Raasi target dose %","FLOAT","%",,,9148,0,0,214.29,,,,,"atc:C09","AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM",21601782,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"AndereMedikation","all other medications in a table","STR",,,,0,9148,0,0,,,,,"loinc:19789-7","Medications [Identifier]",3003790,"Other","snomed:74964007",9177,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"ALAT","Alanine Aminotransferase(ALAT)","FLOAT","U/l",,,8429,719,6,439,,,,,"Snomed:34608000","Alanine aminotransferase measurement",4146380,,,,"unit per liter","ucum:[U]/L",8645,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Albumin","Albumin","FLOAT","g/l",,,5964,3184,19.1,54.4,,,,,"loinc:1751-7","Albumin [Mass/volume] in Serum or Plasma",3024561,,,,"gram per liter","ucum:	g/L",8636,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Aldosteron/ReninRatio","Aldosterone/Renin ratio","FLOAT","pg/mcIU",,,6326,2822,0,10392.9,,,,,"loinc:103560-9","Aldosterone/Renin [Ratio] in Serum or Plasma",1259742,,,,,,,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"AldosteronausPlasma","Aldosterone","FLOAT","pg/ml",,,6363,2785,10,87300,,,,,"loinc:1763-2","Aldosterone [Mass/volume] in Serum or Plasma",3011337,,,,"picogram per milliliter","ucum:pg/mL",8845,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"AlkalischePhosphatase","alkalic posphatase","FLOAT","U/l",,,8419,729,17,911,,,,,"loinc:1783-0","Alkaline phosphatase [Enzymatic activity/volume] in Blood",3001110,,,,"unit per liter","ucum:[U]/L",8645,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"AlphaAmylasegesamt","total alpha Amylase","FLOAT","U/l",,,1683,7465,4,378,,,,,"loinc:76630-3","Amylase [Enzymatic activity/volume] in Blood",46235169,,,,"unit per liter","ucum:[U]/L",8645,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"AnorganischesPhosphat","anorganic phophate","FLOAT","mmol/L",,,5214,3934,0.32,3.74,,,,,"loinc:2774-8","Phosphate [Mass/volume] in Blood",3024232,,,,"millimole per liter","ucum:mmol/L",8753,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"ApolipoproteinA1","Apolipoprotein A1","FLOAT","mg/dl",,,87,9061,67,238,,,,,"loinc:1869-7","Apolipoprotein A-I [Mass/volume] in Serum or Plasma",3008364,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"ApolipoproteinB","Apolipoprotein B","FLOAT","mg/dl",,,86,9062,35,207,,,,,"loinc:1884-6","Apolipoprotein B [Mass/volume] in Serum or Plasma",3014791,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"aPTT","Activated Partial Thromboplastin Time(aPTT)","FLOAT","sec",,,8119,1029,22.7,167.7,,,,,"loinc:3173-2","aPTT in Blood by Coagulation assay",3013466,,,,"second","ucum:s",8555,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"ASAT","aspartaat aminotransferase(ASAT)","FLOAT","U/l",,,8276,872,6,889,,,,,"Snomed:45896001","Aspartate aminotransferase measurement",4263457,,,,"unit per liter","ucum:[U]/L",8645,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Basophileabsolut","Baosphils absolut","FLOAT","G/L",,,7147,2001,0,0.2,,,,,"loinc:704-7","Basophils [#/volume] in Blood by Automated count",3013429,,,,"billion per liter","ucum:10*9/L",9444,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Basophilerelativ","Basophils relative","FLOAT","%",,,7147,2001,0,2.5,,,,,"loinc:75023-2","CD63 (Activated) Basophils/100 basophils in Blood by Flow cytometry (FC)",44816914,,,,"percent","ucum:%",8554,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"CEA","carcinoembryonal antigen","FLOAT","mcg/L",,,24,9124,1,13.3,,,,,"loinc:2039-6","Carcinoembryonic Ag [Mass/volume] in Serum or Plasma",3003785,,,,"microgram per liter","ucum:ug/L",8748,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Chlorid","Chloride","FLOAT","mmol/L",,,8496,652,71,123,,,,,"loinc:77138-6","Chloride [Moles/volume] in Serum, Plasma or Blood",46235783,,,,"millimole per liter","ucum:mmol/L",8753,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Cholesteringesamt","Cholesterine","FLOAT","mg/dl",,,8256,892,41,397,,,,,"loinc:2093-3","Cholesterol [Mass/volume] in Serum or Plasma",3027114,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Cholesterin/HDLQuotient","cholesterine/HDL","FLOAT","kilounit per liter",,,8104,1044,1.2,18.7,,,,,"loinc:9322-9","Cholesterol.total/Cholesterol in HDL [Percentile]",3001318,,,,"kilounit per liter","ucum:10*3.[U]/L",8810,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Cholinesterase","cholinesterase","FLOAT","kU/l",,,8427,721,1.34,17.7,,,,,"loinc:2098-2","Cholinesterase [Enzymatic activity/volume] in Serum or Plasma",3010866,,,,"kilounit per liter","ucum:10*3.[U]/L",8810,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"CK","creatinin kinase","FLOAT","U/l",,,8388,760,10,15096,,,,,"loinc:2157-6","Creatine kinase [Enzymatic activity/volume] in Serum or Plasma",3007220,,,,"unit per liter","ucum:[U]/L",8645,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"CKMB","CK-MB (Creatine Kinase-MB)","FLOAT","U/l",,,691,8457,8,275.9,,,,,"loinc:2154-3","Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma by Electrophoresis",3016070,,,,"unit per liter","ucum:[U]/L",8645,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
