"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","categorical value concept code","categorical value concept name","categorical value omop id","variable concept code","variable concept name","variable omop id","additional context concept name","additional context concept code","additional context omop id","unit concept name","unit concept code","unit omop id","domain","visits","visit omop id","visit concept name","visit concept code"
"ATIIAdjBL","Angiotensin II receptor inhibitor (=ARB) adjustment at Baseline","INT",,"0 = no adjustment| 1= 1 times uptitration| 2= increase more than once| 3= reduction| 4= stop| 5= no adjustment due to side-effect| 6= other",,621,1,0,5,,"loinc:LA32-8|snomed:422114001|icare:icv200000003|snomed:260400001|snomed:422117008|snomed:395009001|snomed:74964007","No|once|more than once|Reduced|stop|Medication stopped - side effect|other","45878245|4226232|2000000032|4127781|4226233|4216319|9177","atc:C09CA","""Angiotensin II receptor blockers (ARBs), plain""",21601823,"Adjustment","snomed:410617001",4253750,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"Augenerkrankungen","history of eye disease Y/N","INT",,"1=yes|0=no",,622,0,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:371405004","Disorder of eye",375252,"Medical history [PhenX]","loinc:66480-5",40769143,,,,"Condition_occurrence","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"AVBlock","AV-Block during echocardiography y/n at baseline","INT",,"1=yes|0=no",,532,90,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:233917008","Atrioventricular block",316135,"Echocardiography","snomed:40701008",4230911,,,,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"AVBlock_12","AV-Block during echocardiography y/n at visit12","INT",,"1=yes|0=no",,,,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:233917008","Atrioventricular block",316135,"Echocardiography","snomed:40701008",4230911,,,,"Measurement","month 12",4081746,"follow-up 1 year","snomed:183627004"
"AVBlock_18","AV-Block during echocardiography y/n at visit18","INT",,"1=yes|0=no",,,,,,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:233917008","Atrioventricular block",316135,"Echocardiography","snomed:40701008",4230911,,,,"Measurement","month 18",44789050,"follow-up 18 months","snomed:199591000000102"
"Backpain","history of Back pain Y/N","INT",,"1=yes|0=no",,622,0,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:134407002","Chronic back pain",4046660,"Medical history [PhenX]","loinc:66480-5",40769143,,,,"Condition_occurrence","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BacterialInfectionAEs","Bacterial Infection Aes adverse events","INT",,,,622,0,0,7,,,,,"loinc:LA7266-5 ","Adverse event ",45884383,"Bacterial infectious disease","snomed:87628006",432545,,,,"Condition_occurrence","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BB_at_BL","Betablocker use at Baseline","INT",,"1=yes|0=no",,622,0,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C07A","BETA BLOCKING AGENTS",21601665,,,,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BB_at_V1","Betablocker use at visit1","INT",,"1=yes|0=no",,567,55,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C07A","BETA BLOCKING AGENTS",21601665,,,,,,,"Drug_Exposure","month 1",4081745,"follow-up 1 month","snomed:183623000"
"BB_at_V12","Betablocker use at visit12","INT",,"1=yes|0=no",,446,176,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C07A","BETA BLOCKING AGENTS",21601665,,,,,,,"Drug_Exposure","month 12",4081746,"follow-up 1 year","snomed:183627004"
"BB_at_V18","Betablocker use at visit18","INT",,"1=yes|0=no",,406,216,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C07A","BETA BLOCKING AGENTS",21601665,,,,,,,"Drug_Exposure","month 18",44789050,"follow-up 18 months","snomed:199591000000102"
"BB_at_V3","Betablocker use at visit3","INT",,"1=yes|0=no",,522,100,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C07A","BETA BLOCKING AGENTS",21601665,,,,,,,"Drug_Exposure","month 3",44789369,"follow-up 3 months","snomed:200521000000107"
