"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","Categorical Value Concept Code","Categorical Value Concept Name","Categorical Value OMOP ID","Variable Concept Code","Variable Concept Name","Variable OMOP ID","Additional Context Concept Name","Additional Context Concept Code","Additional Context OMOP ID","Unit Concept Name","Unit Concept Code","Unit OMOP ID","Domain","Visits","Visit OMOP ID","Visit Concept Name","Visit Concept Code"
"HistoryofCABG","History of Coronary artery bypass graft surgery","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","loinc:88654-9","History of Coronary artery bypass graft surgery",36305599,,,,,,,"procedure_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"HistoryCOPD","History of chronic obstructive pulmonary disorder","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:13645005","Chronic obstructive pulmonary disease",255573,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"Historyofmyocardialinfarction","History of myocardial infarction","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:22298006","Myocardial infarction",4329847,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"pacemakerICD","History of pacemaker/ICD","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:14106009","Cardiac pacemaker",4030875,,,,,,,"procedure_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"HistoryofPCI","History of Percutaneous coronary intervention ","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","loinc:88656-4","History of Percutaneous coronary intervention",36305755,,,,,,,"procedure_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"Historyofstroke","History of stroke","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","loinc:LA12362-2","Stroke (CVA) or TIA",45881969,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"hsCRP","high sensitivity C reactive protein","FLOAT","mg/L",,,842,0,0.6,134.9,,,,,"loinc:30522-7","c reactive protein [mass/volume] in serum or plasma by high sensitivity method",3010156,,,,"milligram per liter","ucum:mg/L",8751,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"hsTnT","high sensitivity troponin t","FLOAT","ng/mL",,,842,0,5,174.1,,,,,"loinc:89576-3","troponin t.cardiac panel - serum or plasma by high sensitivity method",36303871,,,,"nanogram per milliliter","ucum:ng/mL",8842,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Hypercholesterolemia","History of hypercholesterolemia","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:13644009","Hypercholesterolemia",4029305,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"Hypertension","History of hypertension","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:38341003","Hypertensive disorder",316866,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"ICM.HF","Ischemic cardiomyopathy ","INT",,"0=no|1=yes",,842,0,0,1,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:426856002","Ischemic congestive cardiomyopathy",4145696,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"IL6","interleukin 6","FLOAT","pg/mL",,,743,99,1.5,341.9,,,,,"loinc:26881-3","Interleukin 6 [Mass/volume] in Serum or Plasma",3023091,,,,"picogram per milliliter","ucum:pg/mL",8845,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"KCCQ.PL","Kansas City Cardiomyopathy Questionnaire 12 physical limitation score","FLOAT",,,,396,446,0,100,,,,,"loinc:72195-1","Physical limitation score [KCCQ]",43054938,,,,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"KCCQ.QoL","Kansas City Cardiomyopathy Questionnaire 12 quality of life score","FLOAT",,,,396,446,0,100,,,,,"loinc:72189-4","Quality of life score [KCCQ]",43054932,,,,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"KCCQ.SF","Kansas City Cardiomyopathy Questionnaire 12 symptom frequency score","FLOAT",,,,396,446,0,100,,,,,"loinc:72193-6","Symptom frequency score [KCCQ]",43054936,,,,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"KCCQ.SL","Kansas City Cardiomyopathy Questionnaire 12 social limitation score","FLOAT",,,,396,446,0,100,,,,,"loinc:72196-9","Social limitation score [KCCQ]",43054939,,,,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"KCCQ.SumScore","Kansas City Cardiomyopathy Questionnaire Summary Score","FLOAT",,,,396,446,0,100,,,,,"loinc:86924-8","Overall summary score [KCCQ-12]",36303671,,,,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"LDLC","LDL-cholesterol","INT","mg/dl",,,835,7,11,997,,,,,"loinc:2089-1","Cholesterol in LDL [Mass/volume] in Serum or Plasma",3028437,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Loopdose","normalisation of loop diuretics","FLOAT","percent",,,842,0,0,500,,,,,"Atc:C03CA","""Sulfonamides, plain""",21601517,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"LVEF","left ventricular ejection fraction","INT","%",,,842,0,30,69,,,,,"snomed:250908004","Left ventricular ejection fraction",4108582,,,,"percent","ucum:%",8554,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"LVEF_cat","heart failure type base on ejection fraction","STR",,"HFrEF=heart failure with reduced ejection fraction|HFpEF=heart failure with preserved ejection fraction|HFmrEF=heart failure with mildly reduced ejection fraction",,842,0,,,,"snomed:703272007|snomed:446221000|snomed:788950000","Heart failure with reduced ejection fraction|Heart failure with normal ejection fraction|Heart failure with mid range ejection fraction","45766164|40486933|37311948","snomed:84114007","heart failure",316139,"Type","snomed:410656007",4259643,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"Lymphocytes","lymphocytes","FLOAT","/nl",,,842,0,,,,,,,"loinc:26474-7","Lymphocytes [#/volume] in Blood",3019198,,,,"per nanoliter","ucum:/nL",33117,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Metformin","metformin","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","Rxnorm:6809","metformin",1503297,,,,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"MoCA","Montreal Cognitive Assessment test","INT",,,,38,804,19,30,,,,,"loinc:72133-2","Montreal Cognitive Assessment [MoCA]",43054876,,,,,,,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"MRA","mineralocorticoid receptor antagonist (MRA) ","STR",,"spironolactone=spironolactone|eplerenone=eplerenone",,590,252,,,,"rxnorm:9997|rxnorm:298869","spironolactone|eplerenone","970250|1309799","atc:C03DA","Aldosterone antagonists",21601533,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"MRA_dd","original dosage of MRA","FLOAT","mg",,,842,0,0,50,,,,,"atc:C03DA","Aldosterone antagonists",21601533,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"MRAdose","normalisation of MRAs (spirolactone|eplerenone)","FLOAT","percent",,,842,0,0,100,,,,,"atc:C03DA","Aldosterone antagonists",21601533,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"NT.pro.BNP","natriuretic peptide b prohormone","FLOAT","pg/mL",,,842,0,10,52610,,,,,"loinc:33762-6","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma",3029187,,,,"picogram per milliliter","ucum:pg/mL",8845,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"NYHA","new york heart association","INT",,"1=Class I|2=Class II|3=Class III|4=Class IV",,842,0,1,4,,"snomed:420300004|snomed:421704003|snomed:420913000|snomed:422293003","New York Heart Association Classification - Class I| New York Heart Association Classification - Class II| New York Heart Association Classification - Class III| New York Heart Association Classification - Class IV","4220607|4226789|4227345|4228881","snomed:420816009","new york heart association classification",4223299,,,,,,,"Condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"Orthopnea","orthopnea symptom severity","INT",,,,842,0,0,3,,,,,"snomed:62744007","Orthopnea",315361,"Symptom severity","snomed:162465004",4037113,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"Others.HF","other type of cardiomyopathy","INT",,"0=no|1=yes",,842,0,0,1,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:85898001","Cardiomyopathy",321319,"Other","snomed:74964007",9177,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"patientid","patient identification number","STR",,,,842,0,,,,,,,"snomed:184107009","Patient hospital number",4086934,,,,,,,"Person","visit date",46235916,"Visit date","loinc:76427-4"
"Peripheralarterydisease","History of peripheral artery disease","INT",,"0=no|1=yes",,842,0,,,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:840580004","Peripheral arterial disease",3654996,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"PREA","prealbumin","FLOAT","g/l",,,842,0,0.09,0.46,,,,,"loinc:6793-4","Prealbumin [Mass/volume] in Serum or Plasma by Immunoassay",3017925,,,,"gram per liter","ucum:g/L",8636,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"RASdose","normalisation of RAS inhibitors","FLOAT","percent",,,842,0,0,200,,,,,"atc:C09","AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM",21601782,"Dosage","snomed:260911001",4118853,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"SBP","systolic blood pressure","INT","mmHg",,,842,0,80,180,,,,,"loinc:8480-6","Systolic blood pressure",3004249,,,,"millimeter mercury column","ucum:mm[Hg]",8876,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"sex","sex","INT",,"0=male|1=female",,842,0,,,,"loinc:LA2-8|loinc:LA3-6","Male|Female","45880669|45878463","LOINC:76689-9","Sex assigned at birth",46235213,,,,,,,"Person","visit date",46235916,"Visit date","loinc:76427-4"
"SGLT2","sodium glucose cotransporter 2 inhibitors","STR",,"dapagliflozin=dapagliflozin|empagliflozin=empagliflozin",,407,435,,,,"rxnorm:1488564|rxnorm:1545653","dapagliflozin|empagliflozin","44785829|45774751","atc:A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors",1123627,,,,,,,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"SGLT2_dd","original dosage of SGLT2 inhibitors","FLOAT","mg",,,842,0,0,10,,,,,"atc:A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors",1123627,"Dosage","snomed:260911001",4118853,"milligram","ucum:mg",8576,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"SGLT2dose","normalisation of SGLT2","FLOAT","percent",,,842,0,0,100,,,,,"atc:A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors",1123627,"percentage target dose","icare:icv2000000042",2000000042,"percent","ucum:%",8554,"Drug_Exposure","visit date",46235916,"Visit date","loinc:76427-4"
"Smoker","smoking status","INT",,"0 = never|1=former|2=current smoker",,842,0,0,2,,"loinc:LA14458-6| loinc:LA15920-4| loinc:LA20356-4","Never smoked| Former smoker| Current smoker","45883537|45883458|36309332","snomed:1311000175101","Smoking assessment",761009,,,,,,,"Observation","visit date",46235916,"Visit date","loinc:76427-4"
"TCHOL","total cholesterol","INT","mg/dl",,,836,6,62,310,,,,,"loinc:2093-3","Cholesterol [Mass/volume] in Serum or Plasma",3027114,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"TCM.HF","Takotsubo cardiomyopathy ","INT",,"0=no|1=yes",,842,0,0,1,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:441541008","Takotsubo cardiomyopathy",40479589,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"time_from_last_hosp","diference between day of visit and hospitalisation","INT","days",,,842,0,0,884,,,,,"cdisc:C25212","Study Endpoint",37538258,"Time","snomed:410669006",4256606,"day","ucum:d",8512,"Observation_Period","visit date",46235916,"Visit date","loinc:76427-4"
"Triglyceride","triglyceride","INT","mg/dl",,,832,10,33,997,,,,,"loinc:14927-8","Triglyceride [Moles/volume] in Serum or Plasma",3025839,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"UACR","urine-albumin-creatine ratio","FLOAT",,,,191,651,2.3,1621.4,,,,,"loinc:9318-7","Albumin/Creatinine [Mass Ratio] in Urine",3034485,,,,,,,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Urea","urea","FLOAT","mg/dl",,,842,0,12,248,,,,,"loinc:22664-7","Urea [Moles/volume] in Serum or Plasma",3020779,,,,"milligram per deciliter","ucum:mg/dL",8840,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"VCM.HF","Valvular cardiomyopathy","INT",,"0=no|1=yes",,842,0,0,1,,"loinc:LA32-8|loinc:LA33-6","No|Yes","45878245|45877994","snomed:471858004","Valvular cardiomyopathy",43020654,,,,,,,"condition_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"visit","number of months from baseline","INT","months",,,842,0,0,42,,,,,"icare:icv2000000049","months of visit",2000000049,,,,"month","ucum:mo",9580,"visit_occurrence","visit date",46235916,"Visit date","loinc:76427-4"
"WBC","white blood cell count","FLOAT","/nl",,,842,0,1,30.1,,,,,"snomed:767002","White blood cell count",4298431,,,,"per nanoliter","ucum:/nL",33117,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"Weight","weight","FLOAT","kg",,,842,0,37,202,,,,,"loinc:29463-7","Body weight",3025315,,,,"kilogram","ucum:kg",9529,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
"X6.Min.Gehtest","6 minute walking test result","FLOAT","m",,,39,803,120,655,,,,,"snomed:1144649008","6 minute walk test distance",606289,,,,"meter","ucum:m",9546,"Measurement","visit date",46235916,"Visit date","loinc:76427-4"
