"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","categorical value concept code","categorical value concept name","categorical value omop id","variable concept code","variable concept name","variable omop id","additional context concept name","additional context concept code","additional context omop id","unit concept name","unit concept code","unit omop id","domain","visits","visit omop id","visit concept name","visit concept code"
"f11_FUROSEMI","Furosemide at 42 month follow-up","INT",,"2=No | 3=Yes",1,3790,3185,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:4603","Furosemide",956874,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_IDRALAZ","Hydralazine at 42 month follow-up","INT",,"2=No | 3=Yes",1,3788,3187,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:5470","Hydralazine",1373928,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_INTENZIO","Intentional weight loss (If weight loss >= 2 kg) at 42 month follow-up","INT",,"1 = no weight loss | 2 = no | 3 = yes",,4223,2752,1,3,,"snomed:83421005| LOINC:LA32-8| LOINC:LA33-6","failure to lose weight|no|yes","4308415 | 45878245| 45877994","snomed:416528001","intentional weight loss",4214302,,,,,,,"Measurement","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_IPERVENT","Left ventricular hypertrophy at 42 month follow-up","INT",,"0 = No | 1 = Yes",,3336,3443,0,1,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:55827005","Left ventricular hypertrophy",4184746,,,,,,,"Measurement","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_LATOBB","Bundle branch block side at 42 month follow-up","INT",,"2 = left | 3=right",1,996,5783,2,3,,"snomed:7771000|snomed:24028007","Left|Right","4300877|4080761","snomed:6374002","Bundle branch block",313791,"side","snomed:182353008",4112563,,,,"Measurement","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_LISINO","Lisinopril at 42 month follow-up","INT",,"2=No | 3=Yes",1,3788,3187,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:29046","Lisonorpil",1308216,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_METO","Metoprolol at 42 month follow-up","INT",,"2=No | 3=Yes",1,3789,3186,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:6918","Metoprolol",1307046,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_N3PUFA","N3-PUFA open labeled at 42 month follow-up","INT",,"2=No | 3=Yes",1,3788,3187,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:N03AG","Fatty acid derivatives",21604421,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_NIFED","Nifedipine at 42 month follow-up","INT",,"2=No | 3=Yes",1,3787,3188,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:7417","Nifedipine",1318853,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_NITRATI","Nitrates at 42 month follow-up","INT",,"2=No | 3=Yes",1,3788,3187,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C01DA","Organic nitrates",21600316,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_NYHA","NYHA Class at 42 month follow-up","INT",,"2 = NYHA class I | 3 = NYHA class II | 4 = NYHA class III | 5 = NYHA class IV",1,3629,3346,2,5,,"snomed:420300004| snomed:421704003| snomed:420913000| snomed:422293003","New York Heart Association Classification - Class I| New York Heart Association Classification - Class II| New York Heart Association Classification - Class III| New York Heart Association Classification - Class IV","4220607| 4226789| 4227345| 4228881","snomed:420816009","new york heart association classification",4223299,,,,,,,"Measurement","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_OLIVA","Olive oil at 42 month follow-up","INT",,"2 = never | 3 = sometimes | 4 = frequently | 5 = on a regular basis",1,3696,3279,2,5,,"LOINC:LA6270-8| LOINC:LA10082-8| LOINC:LA6482-9| SNOMED:307430002","Never| sometimes| frequently| regular frequency","45876662| 45882528| 45883983| 4146463","snomed:41834005","Olive oil",4216445,,,,,,,"Observation","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_ONDEQ","Pathological Q waves at 42 month follow-up","INT",,"0 = No | 1 = Yes",,3336,3443,0,1,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:164918000","Pathological Q wave",4065387,,,,,,,"Measurement","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_OPENSTAT","Statins open labeled at 42 month follow-up","INT",,"2=No | 3=Yes",1,3788,3187,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C10AA","hmg-coa reductase inhibitor",21601855,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_PAD","Diastolic blood pressure (mmHg) at 42 month follow-up","FLOAT","mmHg",,,3515,3460,40,120,,,,,"loinc:8462-4","Diastolic blood pressure",3012888,,,,"millimeter mercury column","ucum:mm[Hg]",8876,"Measurement","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_PAS","Systolic blood pressure (mmHg) at 42 month follow-up","FLOAT","mmHg",,,3516,3459,70,210,,,,,"loinc:8480-6","Systolic blood pressure",3004249,,,,"millimeter mercury column","ucum:mm[Hg]",8876,"Measurement","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_PESCE","Fish at 42 month follow-up","INT",,"2 = never | 3 = once a week | 4 = 2 times a week | 5 = 3+ times a week",1,3696,3279,2,5,,"LOINC:LA6270-8| LOINC:LA26461-6| SNOMED:229800002| LOINC:LA6396-1","Never| once a week| twice weekly| Three or more times per week","45876662|42531017| 4047143| 45877752","snomed:735971005","Fish",42539493,,,,,,,"Observation","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_PESOATT","Weight (kg) at 42 month follow-up","FLOAT","Kilogram",,,3529,3446,39,178,,,,,"loinc:29463-7","Body weight",3025315,,,,"kilogram","ucum:kg",9529,"Measurement","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_RAMIP","Ramipril at 42 month follow-up","INT",,"2=No | 3=Yes",1,3787,3188,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:35296","Ramipril",1334456,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_RITMOPM","Rhythm from pacemaker at 42 month follow-up","INT",,"0 = No | 1 = Yes",,3336,3443,0,1,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:10370003","Rhythm from artificial pacing",4304202,,,,,,,"Measurement","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_SARTANI","Sartans at 42 month follow-up","INT",,"2=No | 3=Yes",1,3789,3186,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C09CA","""Angiotensin II receptor blockers (ARBs), plain""",21601823,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_SEMI","Seed oil at 42 month follow-up","INT",,"2 = never | 3 = sometimes | 4 = frequently | 5 = on a regular basis",1,3696,3279,2,5,,"LOINC:LA6270-8| LOINC:LA10082-8| LOINC:LA6482-9| SNOMED:307430002","Never| sometimes| frequently| regular frequency","45876662| 45882528| 45883983| 4146463","snomed:21847005","Oil",4071021,,,,,,,"Observation","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_SILDENAF","Sildenafil at 42 month follow-up","INT",,"2=No | 3=Yes",1,3789,3186,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","Rxnorm:136411","Sildenafil",1316262,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_SPECNO","If alcohol NO type of non-consumption at 42 month follow-up","INT",,"2 = NO | 3 = PAST | 4 = NEVER",1,1235,5740,2,4,,"LOINC:LA32-8|LOINC:LA28393-9|LOINC:LA6270-8","No|Former user| never","45878245|36307819|45876662","snomed:105542008","non - drinker",4022664,,,,,,,"Observation","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_SPIRONO","Spironolactone at 42 month follow-up","INT",,"2=No | 3=Yes",1,3790,3185,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:9997","Spironolactone",970250,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
