VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit OMOP ID,Visit Concept Name,Visit Concept Code
PROST_H,Prostate cancer (if reason for hospitalization is neoplasia),INT,,0=no| 1=yes,,10111,878,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,Snomed:93974005,Primary malignant neoplasm of prostate,200962,Reason for hospitalization|Neoplasm,loinc:86947-9|snomed:108369006,36305514|4030314,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
CERV_H,Brain tumor (if reason for hospitalization is neoplasia),INT,,0=no| 1=yes,,10111,878,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:315263004,Suspected brain tumor,4202549,Reason for hospitalization|Neoplasm,loinc:86947-9|snomed:108369006,36305514|4030314,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
CUT_H,Skin cancer (if reason for hospitalization is neoplasia),INT,,0=no| 1=yes,,10111,878,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,Snomed:126488004,Neoplasm of skin,444209,Reason for hospitalization|Neoplasm,loinc:86947-9|snomed:108369006,36305514|4030314,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
GEN_URIN_H,genitourinary malignancy (if reason for hospitalization is neoplasia),INT,,0=no| 1=yes,,10111,878,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:271927003,Genitourinary test finding,4154956,Reason for hospitalization|Neoplasm,loinc:86947-9|snomed:108369006,36305514|4030314,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
ALTRO_NEOP_H,Other neoplasia (if reason for hospitalization is neoplasia),INT,,0=no| 1=yes,,10111,878,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,Snomed:363346000,Malignant neoplastic disease,443392,Reason for hospitalization|Other,loinc:86947-9|snomed:74964007,36305514|9177,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
DESCNOCARD_H,NON cardiovascular reason description,STR,,,,2032,8957,,,,,,,icare:icv2000000021,non-cardiovascular ,2000000021,Etiology,snomed:134198009,4046629,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
CAUSACV,Hospitalization reason Cardiovascular/non Cardiovascular,INT,,1=Cardiovascular| 2=Not cardiovascular,0,10541,448,0,2,,snomed:405617006|icare:icv2000000021,cardiovascular event|non-cardiovascular,4236854|2000000021,icare:icv2000000021,non-cardiovascular ,2000000021,Reason for hospitalization,loinc:86947-9,36305514,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
DATEDEATH,Decease date,DATETIME,DD-MM-YYYY,,,1969,9020,37598,39524,,,,,snomed:399753006,Date of death,4265167,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
CAUSA,Death cause,INT,,2=Myocardial infarction| 3=Worsening HF| 4=Supposed arrhythmic death| 5=Following surgical cardiac procedures| 6=Stroke| 7=Pulmonary embolism| 8=Aneurysm rupture| 9=Other cardiovascular events| 10=Neoplasia| 11=Infection| 12=Accidental/Suicide/homicide| 13=Other non cardiovascular events| 14=Unknown cause| 16=Myopathy| 17=Renal failure| 18=Liver pathology,1,1969,9020,2,18,,snomed:22298006|omop:OMOP5166003|loinc:LA12738-3|snomed:52136000|loinc:LA22099-8|snomed:59282003|snomed:286959000|snomed:405617006|snomed:108369006|snomed:40733004|snomed:7878000|icare:icv2000000021|snomed:87309006|snomed:129565002|snomed:42399005|snomed:235856003,myocardial infarction|Exacerbation of heart failure|Primary arrhythmic death|Intraoperative death|Stroke|Pulmonary embolism|Peripheral arterial embolism|Cardiovascular event|Neoplasm|Infectious disease|Accidental death|non-cardiovascular|Death of unknown cause|Disorder of muscle|Renal failure syndrome|Disease of liver,4329847|1340348|45881640|4178604|36210384|440417|4117679|4236854|4030314|432250|4302017|2000000021|441413|137275|192359|194984,snomed:184305005,Cause of death,4083743,Type,snomed:410656007,4259643,,,,Death,event date,4208903,Date of event,SNOMED:439771001
MORTE,Sudden death or not (if deceased for cardiovascular reason),INT,,1=not sudden death(no)|2=sudden death(yes),,1476,9513,1,2,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:26636000,Sudden death,4132309,,,,,,,Death,event date,4208903,Date of event,SNOMED:439771001
